mg_id,indicator,direction,model,hp_set_id,num_iterations,learning_rate,num_leaves,min_data_in_leaf,bagging_freq,bagging_fraction,feature_fraction,lambda_l1,lambda_l2,cv_pos_rate,cv_brier,cv_log_loss,cv_auc_roc,cv_auc_pr,test_pos_rate,test_brier,test_log_loss,test_auc_roc,test_auc_pr,time
7531,v2xcs_ccsi,down,lightgbm,run-03_lightgbm_hp-131,174,0.9056835621455684,36,13,0,1,0.9015142957214266,0.17635255306959152,0.5666616479866207,0.06976744186046512,3.700056580652692,0.22512399792434465,0.9125868055555555,0.5738163370195241,0.23274161735700197,2.965487885028301,1.518752907545743,0.6289785848111193,0.32883361191573574,1.5300000000002
7532,v2xcs_ccsi,down,lightgbm,run-03_lightgbm_hp-132,168,0.6479227538313717,49,8,1,0.7512793872505427,0.9660499085206539,0.964976690011099,0.8933592834509909,0.06976744186046512,3.7012594008043256,0.1869328080793752,0.9305121527777778,0.6073913641709647,0.23274161735700197,3.0619348638872252,1.2549952422506654,0.6234695655962703,0.35454218296105894,1.72400000000016
7533,v2xcs_ccsi,down,lightgbm,run-03_lightgbm_hp-133,113,0.13615634528454393,57,37,4,0.8533659116365016,0.8648179499432445,0.12572350236587226,0.920335853472352,0.06976744186046512,3.6942690908073783,0.14115497984772388,0.9437065972222222,0.6503113399124453,0.23274161735700197,3.0864450520951547,0.9113504165151083,0.6790335933074811,0.3697417882192893,2.9539999999997235
7534,v2xcs_ccsi,down,lightgbm,run-03_lightgbm_hp-134,14,0.8329519795114174,33,21,2,0.6998216166161001,0.9520077831111848,0,0,0.06976744186046512,3.6235700916530047,0.6138352797989683,0.8645760995370371,0.3174124039659532,0.23274161735700197,2.9293005856661116,2.83366717525901,0.641292863056076,0.32717638190899007,0.5159999999996217
7535,v2xcs_ccsi,down,lightgbm,run-03_lightgbm_hp-135,156,0.027747581622097645,54,11,0,1,0.9997588390484452,0.489503636257723,0.9005281396675855,0.06976744186046512,3.6424080692519647,0.13725638401972773,0.947974537037037,0.5843074565079016,0.23274161735700197,3.023691016320164,0.691694940223071,0.6777536926495578,0.3693059953075506,6.5590000000001965
7536,v2xcs_ccsi,down,lightgbm,run-03_lightgbm_hp-136,47,0.4123053899593651,25,36,5,0.7917925510555506,0.9706338082905859,0,0,0.06976744186046512,3.689802115054049,0.15734913544404097,0.9474392361111111,0.605463175893496,0.23274161735700197,2.9907778878775066,1.0671511484950928,0.6663952551087099,0.32172642819992986,0.9339999999999691
7537,v2xcs_ccsi,down,lightgbm,run-03_lightgbm_hp-137,77,0.4672281603305601,17,43,0,1,0.8194140379782766,0.9261309364810586,0,0.06976744186046512,3.6846257882187197,0.15523181681823503,0.93671875,0.6104041052559736,0.23274161735700197,3.07521155079805,0.9987838151691779,0.6605512831684894,0.3675368505911813,1.1669999999999732
7538,v2xcs_ccsi,down,lightgbm,run-03_lightgbm_hp-138,169,0.15296519599622116,60,41,0,1,0.9121297782287002,0.5403425765689462,0.2646958518307656,0.06976744186046512,3.6914856973230044,0.13888996155190575,0.9463975694444444,0.6411333013842776,0.23274161735700197,3.0982809115543737,0.9688117114507866,0.6741046141780315,0.37046965640041846,2.9779999999996107
7539,v2xcs_ccsi,down,lightgbm,run-03_lightgbm_hp-139,113,0.2093956478103064,12,47,2,0.6922739643603564,0.8824932634830475,0.8572796185035259,0,0.06976744186046512,3.6630420626787887,0.13921153517913246,0.9406539351851851,0.6060816618268936,0.23274161735700197,2.9671907247714917,0.7918561193059587,0.6607446298636225,0.34489345978210495,1.4200000000000728
7540,v2xcs_ccsi,down,lightgbm,run-03_lightgbm_hp-140,109,0.9340995115623809,21,37,0,1,0.9201427494175732,0,0,0.06976744186046512,3.5968992248062017,4.330826570010201,0.5422526041666667,0.1778141305757585,0.23274161735700197,2.9881655425585225,10.166158682692148,0.5304017254150146,0.34019502419811465,1.7309999999997672
