mg_id,indicator,direction,model,hp_set_id,nrounds,eta,gamma,max_depth,min_child_weight,max_delta_step,subsample,colsample_bytree,colsample_bylevel,colsample_bynode,lambda,alpha,cv_pos_rate,cv_brier,cv_log_loss,cv_auc_roc,cv_auc_pr,test_pos_rate,test_brier,test_log_loss,test_auc_roc,test_auc_pr,time
675,v2x_freexp_altinf,up,xgboost,run-07_xgboost_hp-35,74,0.8249724390916526,0,14,2.4909866128582507,0,1,0.8992455599363893,0.7287417050683871,0.9384829219197854,2.208167888224125,1.4359124740585685,0.14147286821705427,3.36636236407384,0.23849016956253177,0.9420629889606976,0.7522721875492951,0.15285996055226825,3.2978797982010275,0.6680692291142003,0.6854557061849863,0.2724369456017464,5.348000000000013
676,v2x_freexp_altinf,up,xgboost,run-07_xgboost_hp-36,86,0.35106653603725135,0.4313391614705324,14,2.3817289230646566,1.8987560109235346,0.8465360472910106,0.8249311078106984,1,0.8666706733638421,2.601846830919385,0.6980649910401553,0.14147286821705427,3.366141562148308,0.21725250066026122,0.9477179257243575,0.7658204572699105,0.15285996055226825,3.3312662594639044,0.5649440361375534,0.7198392729730745,0.2763500264578702,8.99499999999989
677,v2x_freexp_altinf,up,xgboost,run-07_xgboost_hp-37,81,0.07256033085286617,0.24816758534871042,6,3.125761236762628,0,0.5330775614129379,0.5287813942413777,0.6185071027139202,1,1,0,0.14147286821705427,3.2282765450476343,0.2707248808930913,0.8940288815362256,0.5785854159156455,0.15285996055226825,3.17953425955635,0.4018936335226825,0.7418829096098238,0.2797329453765267,2.793999999999869
678,v2x_freexp_altinf,up,xgboost,run-07_xgboost_hp-38,92,0.2901625451631844,0.173832151805982,12,4.259440109715797,2.8845869132783264,0.9976180951343849,0.853786664782092,0.861920639174059,1,1,0,0.14147286821705427,3.369538462784643,0.2010878789168465,0.9579687065153529,0.7916174133631327,0.15285996055226825,3.3269307777201096,0.5928728176705796,0.7146569529460363,0.28199060797361875,10.96100000000024
679,v2x_freexp_altinf,up,xgboost,run-07_xgboost_hp-39,149,0.863392464350909,0.5727878373581916,14,1.7477303041378036,2.8845869132783264,0.8102914692135528,1,0.8509494180325419,1,2.601846830919385,0,0.14147286821705427,3.358181458153165,0.26355756460965035,0.9365162806518444,0.7141961943866245,0.15285996055226825,3.3172762734895134,0.7105384793661769,0.7155432047767472,0.28264966240560035,15.557999999999993
680,v2x_freexp_altinf,up,xgboost,run-07_xgboost_hp-40,48,0.03779176389798522,0.225976632675156,14,0.5132535836892202,2.1266692236531526,0.99811135022901,1,1,1,2.454003117280081,0,0.14147286821705427,3.027171043506652,0.2717462166058236,0.9305057361081047,0.6973636466119726,0.15285996055226825,2.9123239719368756,0.4010975484477315,0.71575725712569,0.2813197013829073,10.481999999999971
681,v2x_freexp_altinf,up,xgboost,run-07_xgboost_hp-01,184,0.6939680392388254,0.6624684114940464,9,0.7505374861648306,0,0.5400715350406244,1,1,0.8140137944137678,2.2002464127726853,2.992752624442801,0.13565891472868216,3.340630583557846,0.23055328165757827,0.9402226137091608,0.6726131224884947,0.15285996055226825,3.2937189981365558,0.7553452289293384,0.6351271170528371,0.22946435229315945,18.402000000000044
682,v2x_freexp_altinf,up,xgboost,run-07_xgboost_hp-02,103,0.9882689551450312,0.577944383956492,7,0.9530175421386957,0.29554898268543184,0.8991108251502737,0.7929844183381647,1,0.8518350861268118,1.4071296479087323,0,0.13565891472868216,3.3612439117063952,0.2256972648643583,0.9470771941063422,0.6810173260931248,0.15285996055226825,3.2876796216659936,0.6687352765533368,0.6848773893124037,0.23911022098311083,8.268000000000029
683,v2x_freexp_altinf,up,xgboost,run-07_xgboost_hp-03,190,0.24484358681365848,0.37977028195746243,14,4.782724142540246,2.8845869132783264,0.9376887701218948,0.6721934353699908,0.7672643074765801,1,2.208167888224125,2.1564316840376705,0.13565891472868216,3.335214634626165,0.20786319584972202,0.9484945547725817,0.6747532356869418,0.15285996055226825,3.283566974101648,0.5755529762971856,0.6870254234105674,0.23543626435565937,12.208999999999833
684,v2x_freexp_altinf,up,xgboost,run-07_xgboost_hp-04,126,0.9886607178486884,0.9735402639489621,12,3.3794347355142236,0,0.5330775614129379,1,1,1,1.4137606483418494,0,0.13565891472868216,3.3535961375284478,0.4466972206903228,0.8959160794362588,0.5720346573388708,0.15285996055226825,3.289432663141453,1.2910015947356688,0.608156521086034,0.22576985380982809,10.991999999999962
685,v2x_freexp_altinf,up,xgboost,run-07_xgboost_hp-05,104,0.0724632772617042,0,6,0.9228935563005507,0.5119690869469196,0.9248787080869079,0.5960754742845893,0.5575107714394107,1,1.9336431501433253,0,0.13565891472868216,3.194685477602502,0.26926320024976264,0.9028507367072389,0.5379445851530834,0.15285996055226825,3.1354128117710305,0.3974271350584714,0.7182883322693304,0.28600743449661264,3.788000000000011
686,v2x_freexp_altinf,up,xgboost,run-07_xgboost_hp-06,63,0.7918105963617563,0.37977028195746243,9,2.241549299680628,0,0.8861109154531732,1,0.6185071027139202,1,0.7909135648515075,0.6980649910401553,0.13565891472868216,3.349579737601151,0.25255875094646557,0.9356101857783472,0.6818139306487301,0.15285996055226825,3.2703410175609857,0.7630217273664159,0.6459273724135342,0.27113301912194865,4.753000000000043
687,v2x_freexp_altinf,up,xgboost,run-07_xgboost_hp-07,98,0.18209208943881094,0.8219061559066176,4,2.8567470248090103,0,1,0.5392580954357982,0.5603128424845636,0.5662084120558575,1.0432828443590552,0,0.13565891472868216,3.244885693116827,0.25404212887444116,0.9069666880204997,0.5294820555624801,0.15285996055226825,3.191736969363944,0.42371346881111804,0.7308348041608772,0.2626071690441335,1.518000000000029
688,v2x_freexp_altinf,up,xgboost,run-07_xgboost_hp-08,12,0.6534820275846869,0,5,3.2771674764808267,2.5037677912041545,0.8685691674472764,0.8340052082203329,1,0.9132695294683799,0.10945759154856205,0.4499174002557993,0.13565891472868216,3.2225266937099093,0.27431965897194854,0.8832879564381807,0.5047954651845042,0.15285996055226825,3.1617392094159675,0.4771279999137183,0.6884561943745541,0.28110137705944815,0.8679999999999382
