gwcode,year,NY.GDP.MKTP.KD,NY.GDP.MKTP.KD.ZG,NY.GDP.PCAP.KD,NY.GDP.PCAP.KD.ZG
990,1996,484486518.417844,7.178968817831851,2751.654266846011,6.265575682612782
2,1997,11979704707077.8,4.447127935664655,43806.60318390181,3.451301339512868
20,1997,1012824977387.95,4.280166836213382,33694.466834572064,3.267572606337087
31,1997,8985925213.01949,1.2877532054979457,28902.61837843411,-0.2224240037778831
40,1997,40554060118.1077,2.7834250417431394,3687.4253035258894,2.447690006308345
41,1997,10532590219.7954,2.7047139307776362,1340.9970209680612,0.7858928691224463
42,1997,29913105390.3086,8.899552300357964,3659.50796659325,7.018608376033532
51,1997,13614376085.2375,-1.1404598735032208,5343.480492257583,-2.0478451553678325
52,1997,10594172850.9492,7.5228546262755085,8112.939752372674,7.118646524142967
53,1997,5188847371.00198,4.740103327661154,19775.211357844975,4.696992437409797
54,1997,442234316.346954,2.1856274240441826,6381.539652043377,2.349303734583569
55,1997,572588028.202019,5.0154946093675035,5438.018759011895,4.307867895227054
56,1997,1336438462.00596,-0.6941301420596853,8759.567553080638,-2.082156330027484
57,1997,529562766.24073,3.50515087270623,4680.57650656246,3.4854818705031083
58,1997,1036543047.19835,5.471255813953799,14588.3079841576,3.331489509141701
60,1997,561992423.382491,6.823966776073344,12940.785285587432,5.468619864089914
70,1997,824645415966.33,7.198876152847072,8770.844815535393,5.410535787883628
80,1997,1068821095.7247,4.234615878043983,4915.351643168978,0.814384214064528
90,1997,32782678035.7708,4.364089946783534,3019.287094377645,1.7282267341895763
91,1997,8625903498.75745,22.42774532685692,1420.7309794971618,19.050184224139077
92,1997,16615462391.6437,3.137970066658377,2842.8848740907724,2.4445928681918287
93,1997,6338490397.92159,3.9666509276082382,1317.8904651039895,2.2459906013824704
94,1997,26230280995.2372,5.4761657765482825,7085.988343022241,3.1197776205336725
95,1997,17368081091.3307,7.709040056902454,6122.645554071877,5.564936846510937
100,1997,158347444690.971,3.4302936778838355,4265.693461108229,1.5957876964933428
101,1997,93810088635.0827,6.371005046790633,4055.48003127929,4.2116769352557375
110,1997,2879766586.43647,6.180665610199481,3778.0090068691475,5.94127854495843
115,1997,2836325576.94385,5.699997683295141,6330.13011866259,3.5208534057042877
130,1997,50444773789.827,4.3278647576756955,4192.855406335143,2.4186007931790448
135,1997,84192012966.592,6.476824420797018,3331.1514450325967,4.5263622933818315
140,1997,1127442397626.76,3.394845985316095,6764.857642673292,1.8692443488236226
145,1997,16032477212.7938,4.954208742997605,1962.8640425071071,3.0760605082357326
150,1997,21555788371.9596,4.242516102698646,4496.023364691979,1.9189165761291223
155,1997,120339623825.598,7.391739268432541,8058.942018168438,5.964956531717714
160,1997,397463514160.866,8.111046770745736,11056.687979312053,6.805818153642592
165,1997,35904413225.1269,8.547683201116136,11138.867612721226,7.974492892363518
200,1997,2083175521750.84,4.879985303802306,35642.07486451276,4.613467412085564
205,1997,123246371072.281,11.021765082343116,33561.15316856732,10.000412943138693
210,1997,565287382969.544,4.248479542970135,35951.473710672006,3.694240090546607
211,1997,335894554716.996,3.793671655414458,32990.79137509065,3.543965513904404
212,1997,32714187913.5681,5.419830840567395,78082.69097454367,4.113432479534951
220,1997,1818562957062.05,2.527061633935558,31050.103537660758,2.197926831503336
221,1997,3518819006.34192,2.237249277425913,109748.74093853941,1.5197948965316983
223,1997,1786987100.337929,4.331589506709623,56020.16051719267,2.935006895362406
225,1997,486583036190.792,2.261325299143408,68637.59099763788,2.0120753433349665
230,1997,853640231891.445,3.5872997235629644,21117.254756920953,3.10950560326723
232,1997,2014803568.84039,9.067672051441432,31140.944966195875,7.86151250843405
235,1997,171307602359.378,4.4008676645802876,16943.447878127914,3.9578593652823075
260,1997,2690394576515.06,1.8543223839828271,32654.526003804753,1.6980002226453734
290,1997,247015068311.447,6.3589063503048475,6441.354737964906,6.389027909831658
305,1997,278865754830.707,2.1458350552645853,34990.292399393154,2.031908240405688
310,1997,82033753398.2324,2.977879065431132,7981.022846175368,3.214655216826131
316,1997,122478487836.036,-0.5958384142153779,11914.19068213144,-0.4403799728307252
317,1997,46551440140.7428,5.485840185462751,8669.153014708108,5.341434551822986
325,1997,1726814955886.64,1.9257212260854866,30194.734432006826,1.877274259336699
331,1997,1248966330.24081,-6.4727591814820045,48408.60953240479,-7.629139477255624
338,1997,5086035706.66143,5.256980914405687,13018.45173828496,4.433900900651406
339,1997,4709514660.14116,-11.711573281227858,1458.2077956333044,-11.273679390743538
343,1997,5899797047.66049,1.4399813365913177,2912.3934490912106,0.778864358951936
344,1997,38018368234.5642,6.167990547334315,8439.859476427473,7.5273851243229535
345,1997,27178213941.494686,7.18482949645733,3226.775919818572,7.409132444462163
346,1997,7932210852.72563,36.641128467034164,1974.057427000921,31.77901261610166
349,1997,28599098754.7261,5.171338273105234,14411.980842913832,5.29829768563888
350,1997,175921772178.591,3.602883265160988,16561.51286828364,3.0933213155700776
352,1997,13158501394.566,2.64093066351485,14660.172148033353,0.6651709667131895
355,1997,30548352778.3154,-14.115380812727121,3717.6552972465715,-13.338843821080006
359,1997,4271918931.24013,1.647064560374022,980.8016670363409,2.396604478523696
360,1997,102545439457.276,-4.849062737970302,4575.569786165748,-4.295443505817845
365,1997,704127280749.068,1.3999158052962517,4762.322113043901,1.5582094848399326
366,1997,12222126358.4524,13.050020704786256,8598.072986805731,14.096223453419713
367,1997,12937852902.7127,9.171476340720995,5317.149462057939,10.278544100818216
368,1997,20326259134.8192,8.300630373487525,5688.198338006984,9.097789985051351
369,1997,67357528156.5426,-2.999999998423563,1326.2780109408484,-2.1611076658826165
370,1997,22009501605.6264,11.400005400755697,2174.3440174277866,11.858526169719779
371,1997,3373153403.74995,3.3210797004694497,1039.0798243009017,4.353768845675337
372,1997,5893190454.62344,10.520804244624346,1255.11033179769,13.284638482386152
373,1997,9227163287.12935,5.800000147957747,1162.6645359040635,4.397022784539777
375,1997,168391880311.838,6.397700684043158,32761.54424662578,6.08288102600277
380,1997,324435964184.782,3.0649918639927023,36677.98133663783,3.004444040006115
385,1997,281412338539.918,5.2846066097903615,63884.94914568252,4.714514411583468
390,1997,240713316196.954,3.1684814378448176,45546.21042187119,2.7396664854849715
