gwcode,year,infmort,infmort_yearadj,infmort_imputed
42,1998,34.3,-0.21854051648713194,FALSE
42,1999,33.3,-0.2160802112581168,FALSE
42,2000,32.4,-0.20631106858094403,FALSE
42,2001,31.7,-0.1915660699497222,FALSE
42,2002,31.1,-0.18004234691243085,FALSE
42,2003,30.6,-0.1587141408097431,FALSE
42,2004,30.1,-0.1390368294619082,FALSE
42,2005,29.8,-0.10822734364924687,FALSE
42,2006,29.5,-0.06944284495181755,FALSE
42,2007,29.3,-0.04402641809773973,FALSE
42,2008,29.1,-0.012342151415582783,FALSE
42,2009,29,0.02488024718771238,FALSE
42,2010,28.9,0.05042926275872784,FALSE
42,2011,28.8,0.08547548261584655,FALSE
42,2012,28.8,0.12233385232544712,FALSE
42,2013,28.8,0.15894442234455755,FALSE
42,2014,28.8,0.19366179764697022,FALSE
42,2015,28.8,0.2294327570557318,FALSE
42,2016,28.8,0.265867427650031,FALSE
42,2017,28.7,0.2981435647112672,FALSE
42,2018,28.6,0.33094375013338073,FALSE
42,2019,28.3,0.35195240093477337,FALSE
42,2020,27.9,0.3707052354648867,FALSE
51,1962,56.9,-0.7332290738429261,FALSE
51,1963,55,-0.7423235431502299,FALSE
51,1964,53.3,-0.7465776240232087,FALSE
51,1965,51.7,-0.7541004703471865,FALSE
51,1966,50.2,-0.7566756003228873,FALSE
51,1967,48.7,-0.760035638929928,FALSE
51,1968,47.3,-0.776419029924579,FALSE
51,1969,45.8,-0.7807936490702629,FALSE
51,1970,44.4,-0.7785649694464073,FALSE
51,1971,43.1,-0.7764415444904315,FALSE
51,1972,41.7,-0.7808216643888976,FALSE
51,1973,40.4,-0.7711480930600019,FALSE
51,1974,39.2,-0.7735338118888031,FALSE
51,1975,38,-0.7914763469957208,FALSE
51,1976,36.9,-0.7813316877011062,FALSE
51,1977,35.9,-0.7763961466898057,FALSE
51,1978,35,-0.7605970056050861,FALSE
51,1979,34,-0.7499934091227775,FALSE
51,1980,33.1,-0.7391091877847548,FALSE
51,1981,32.3,-0.7246595734174324,FALSE
51,1982,31.4,-0.715483504729566,FALSE
51,1983,30.6,-0.7043247986653064,FALSE
51,1984,29.8,-0.6843283220464009,FALSE
51,1985,29,-0.674876016772291,FALSE
51,1986,28.3,-0.6632949576893834,FALSE
51,1987,27.5,-0.6563061627123984,FALSE
51,1988,26.7,-0.6501707316927102,FALSE
51,1989,26,-0.6449102259473127,FALSE
51,1990,25.3,-0.6410364612080995,FALSE
51,1991,24.6,-0.6370532496673337,FALSE
51,1992,23.9,-0.6229137520805392,FALSE
51,1993,23.2,-0.619568051209125,FALSE
51,1994,22.5,-0.6127956592540922,FALSE
51,1995,21.9,-0.6178733119604302,FALSE
51,1996,21.2,-0.6179649719848083,FALSE
51,1997,20.6,-0.615129782562587,FALSE
51,1998,20,-0.6140284681590935,FALSE
51,1999,19.5,-0.6078460520787192,FALSE
51,2000,18.9,-0.6003375561442554,FALSE
51,2001,18.4,-0.5923575753496692,FALSE
51,2002,18,-0.587478109189683,FALSE
51,2003,17.6,-0.5767380053941977,FALSE
51,2004,17.3,-0.564852110353642,FALSE
51,2005,17,-0.5475466250038764,FALSE
51,2006,16.7,-0.5240884177533699,FALSE
51,2007,16.5,-0.5122709827933823,FALSE
51,2008,16.2,-0.4969584539278197,FALSE
51,2009,15.8,-0.4883176100096686,FALSE
51,2010,15.4,-0.4787213253448502,FALSE
51,2011,15.1,-0.47734917329232046,FALSE
51,2012,14.6,-0.477467109980138,FALSE
51,2013,14.2,-0.47407611612024697,FALSE
51,2014,13.8,-0.4718788086669136,FALSE
51,2015,13.4,-0.4697365026706878,FALSE
51,2016,13,-0.4705126800554739,FALSE
51,2017,12.6,-0.46953510079726396,FALSE
51,2018,12.2,-0.4704877793760464,FALSE
51,2019,11.8,-0.4742303022440362,FALSE
51,2020,11.4,-0.47528919055079427,FALSE
52,1962,52.7,-0.7977744125637833,FALSE
52,1963,51.2,-0.801955821532959,FALSE
52,1964,49.8,-0.8020845642048215,FALSE
52,1965,48.6,-0.803871300827754,FALSE
52,1966,47.5,-0.8012672744779751,FALSE
52,1967,46.5,-0.7970096575886356,FALSE
52,1968,45.6,-0.8055737405429245,FALSE
52,1969,44.8,-0.7982365435264215,FALSE
52,1970,44,-0.7856649016078148,FALSE
52,1971,43.2,-0.774648637110967,FALSE
52,1972,42.3,-0.769776288141191,FALSE
52,1973,41.4,-0.752371787359129,FALSE
52,1974,40.5,-0.7489975889705979,FALSE
52,1975,39.5,-0.7628446367740128,FALSE
52,1976,38.4,-0.7522400208492489,FALSE
52,1977,37.4,-0.746770778877624,FALSE
52,1978,36.3,-0.7343890544301473,FALSE
52,1979,35.2,-0.7253200642004708,FALSE
52,1980,34.2,-0.7160573421662235,FALSE
52,1981,33.1,-0.7075274571558278,FALSE
52,1982,32.2,-0.6980603467269192,FALSE
52,1983,31.3,-0.6888844709235903,FALSE
52,1984,30.4,-0.6709197074743544,FALSE
52,1985,29.6,-0.6613000490520025,FALSE
52,1986,28.9,-0.6495186668199697,FALSE
52,1987,28.3,-0.6377487757668712,FALSE
52,1988,27.7,-0.626749470198333,FALSE
52,1989,27.2,-0.6165130573710375,FALSE
52,1990,26.7,-0.6074804003682958,FALSE
52,1991,26.2,-0.5971718925802219,FALSE
52,1992,25.9,-0.5724763307694765,FALSE
52,1993,25.6,-0.5584112521860842,FALSE
52,1994,25.3,-0.5426119870014752,FALSE
52,1995,25.2,-0.5317083337690557,FALSE
52,1996,25,-0.5171907962478786,FALSE
52,1997,24.9,-0.49889106379928894,FALSE
52,1998,24.8,-0.48127726759787554,FALSE
52,1999,24.7,-0.46022414104486903,FALSE
52,2000,24.7,-0.4310521022281661,FALSE
52,2001,24.5,-0.4085359074594679,FALSE
52,2002,24.3,-0.3915357196975694,FALSE
52,2003,23.9,-0.3741572094801929,FALSE
52,2004,23.5,-0.3585978336717085,FALSE
52,2005,23,-0.34161571186889383,FALSE
52,2006,22.4,-0.32162906111517864,FALSE
52,2007,21.7,-0.3220466283857776,FALSE
52,2008,21.2,-0.309122677760286,FALSE
52,2009,20.7,-0.2978123448379136,FALSE
52,2010,20.1,-0.2944985280050859,FALSE
52,2011,19.5,-0.29658796993495296,FALSE
52,2012,18.9,-0.29583724111295384,FALSE
52,2013,18.4,-0.2919743173837964,FALSE
52,2014,17.8,-0.2944013136498779,FALSE
52,2015,17.3,-0.2926741576750361,FALSE
52,2016,16.8,-0.2934086035187069,FALSE
52,2017,16.3,-0.29311205344437163,FALSE
52,2018,15.8,-0.2945637850934892,FALSE
52,2019,15.4,-0.29397225791411413,FALSE
52,2020,14.8,-0.30096306640210846,FALSE
53,1966,49,-0.776494122169593,FALSE
53,1967,46.8,-0.7919677459533574,FALSE
53,1968,44.8,-0.8192936043633225,FALSE
53,1969,42.8,-0.8331223324387386,FALSE
53,1970,40.9,-0.8406893758587224,FALSE
53,1971,38.9,-0.8517436544279382,FALSE
53,1972,37,-0.8673437783292655,FALSE
53,1973,35.1,-0.870662513274628,FALSE
53,1974,33.2,-0.8867779176651347,FALSE
53,1975,31.4,-0.9174558719712361,FALSE
53,1976,29.7,-0.920971688590021,FALSE
53,1977,28,-0.9324230838339626,FALSE
53,1978,26.4,-0.9339726826085275,FALSE
53,1979,24.9,-0.937099608116936,FALSE
53,1980,23.5,-0.9402889313646637,FALSE
53,1981,22.4,-0.9366695121547871,FALSE
53,1982,21.4,-0.9332729797626509,FALSE
53,1983,20.6,-0.9249009092612509,FALSE
53,1984,19.9,-0.905570462485171,FALSE
53,1985,19.3,-0.8943541615836217,FALSE
53,1986,18.7,-0.8837156116000028,FALSE
53,1987,18.1,-0.8743554593223428,FALSE
53,1988,17.5,-0.8656463374409809,FALSE
53,1989,16.8,-0.8626218516987567,FALSE
53,1990,16.2,-0.8591508566668242,FALSE
53,1991,15.5,-0.8638784681002825,FALSE
53,1992,14.9,-0.8498821479803215,FALSE
53,1993,14.4,-0.8438096476269406,FALSE
53,1994,14,-0.8258532357352512,FALSE
53,1995,13.7,-0.8319802274662697,FALSE
53,1996,13.5,-0.8221652754517447,FALSE
53,1997,13.4,-0.8097620558406677,FALSE
53,1998,13.4,-0.7965613689307681,FALSE
53,1999,13.6,-0.7753401434440493,FALSE
53,2000,13.7,-0.7521107217241976,FALSE
53,2001,14,-0.7249502538278471,FALSE
53,2002,14.2,-0.7056655822166722,FALSE
53,2003,14.3,-0.6828517556348669,FALSE
53,2004,14.4,-0.6613258849306756,FALSE
53,2005,14.4,-0.6367833540290355,FALSE
53,2006,14.3,-0.6093344626536609,FALSE
53,2007,14.2,-0.5964086780121307,FALSE
53,2008,14.1,-0.5758494799181838,FALSE
53,2009,13.9,-0.5621869985456552,FALSE
53,2010,13.8,-0.541435469120089,FALSE
53,2011,13.7,-0.534864101633301,FALSE
53,2012,13.6,-0.5197066143678553,FALSE
53,2013,13.5,-0.5044264159096554,FALSE
53,2014,13.3,-0.49406349554404305,FALSE
53,2015,13,-0.4878967431830623,FALSE
53,2016,12.7,-0.48449458083469243,FALSE
53,2017,12.4,-0.4790714817352581,FALSE
53,2018,12.1,-0.47537455699500636,FALSE
53,2019,11.7,-0.47923747014208967,FALSE
53,2020,11.4,-0.47528919055079427,FALSE
70,1960,106.9,-0.02012786934785163,FALSE
70,1961,102.9,-0.05837573605758453,FALSE
70,1962,99.2,-0.08316530529714819,FALSE
70,1963,95.8,-0.10206118577777046,FALSE
70,1964,92.6,-0.12331398141252731,FALSE
70,1965,89.6,-0.14561192995573283,FALSE
70,1966,86.7,-0.15386222748558886,FALSE
70,1967,84,-0.16677070317884685,FALSE
70,1968,81.3,-0.19332481755766645,FALSE
70,1969,78.8,-0.20517813201703056,FALSE
70,1970,76.3,-0.21234537957416466,FALSE
70,1971,73.8,-0.22601897899484721,FALSE
70,1972,71.4,-0.23407554012742393,FALSE
70,1973,69,-0.23414575001503782,FALSE
70,1974,66.8,-0.2526109253176777,FALSE
70,1975,64.5,-0.28564946641221245,FALSE
70,1976,62.4,-0.2867733512195325,FALSE
70,1977,60.2,-0.2964651881324622,FALSE
70,1978,58.1,-0.29490187318886574,FALSE
70,1979,56,-0.2976487522138227,FALSE
70,1980,53.9,-0.3032197433616189,FALSE
70,1981,51.9,-0.3049227250081237,FALSE
70,1982,50,-0.3103950811680281,FALSE
70,1983,48.1,-0.3183166051224035,FALSE
70,1984,46.2,-0.31782619041045873,FALSE
70,1985,44.4,-0.3264261786182195,FALSE
70,1986,42.7,-0.3326639768234543,FALSE
70,1987,41,-0.3431502580066271,FALSE
70,1988,39.4,-0.35272071071411937,FALSE
70,1989,37.8,-0.36567140161393896,FALSE
70,1990,36.3,-0.3773816974667839,FALSE
70,1991,34.8,-0.38280959823699556,FALSE
70,1992,33.4,-0.3833360008529912,FALSE
70,1993,32,-0.3953264547913093,FALSE
70,1994,30.7,-0.40725776194285657,FALSE
70,1995,29.5,-0.41943275612574965,FALSE
70,1996,28.2,-0.43232833246941155,FALSE
70,1997,27,-0.4421233174265154,FALSE
70,1998,25.9,-0.4508551174692632,FALSE
70,1999,24.8,-0.4573852581403719,FALSE
70,2000,23.8,-0.45732053473238676,FALSE
70,2001,22.8,-0.45976489687149114,FALSE
70,2002,21.9,-0.46618043950408894,FALSE
70,2003,21,-0.4674086869644173,FALSE
70,2004,20.2,-0.46837833577660865,FALSE
70,2005,19.5,-0.4617420778643003,FALSE
70,2006,18.8,-0.44949812846561515,FALSE
70,2007,18.2,-0.45008225154474235,FALSE
70,2008,17.6,-0.4443644366009102,FALSE
70,2009,17,-0.44166325935536127,FALSE
70,2010,16.4,-0.4395249854853259,FALSE
70,2011,15.9,-0.4444834999546173,FALSE
70,2012,15.4,-0.4436755064699642,FALSE
70,2013,14.9,-0.4437258163308385,FALSE
70,2014,14.4,-0.44525718441435824,FALSE
70,2015,13.9,-0.4470362020302196,FALSE
70,2016,13.5,-0.44720951209010984,FALSE
70,2017,13,-0.4504623389212756,FALSE
70,2018,12.6,-0.45094066890020673,FALSE
70,2019,12.2,-0.4542016306518227,FALSE
70,2020,11.8,-0.4547802347685959,FALSE
80,1981,47.8,-0.3927248208488464,FALSE
80,1982,46,-0.39751087118126205,FALSE
80,1983,44.3,-0.40213552714886247,FALSE
