outcome,from_year,for_years,gwcode,p_up,p_same,p_down
v2x_freexp_altinf,2006,2007 - 2008,325,0.002,0.979038,0.019
v2x_freexp_altinf,2006,2007 - 2008,339,0.016,0.958416,0.026
v2x_freexp_altinf,2006,2007 - 2008,340,0.014,0.9685806666666666,0.01766666666666666
v2x_freexp_altinf,2006,2007 - 2008,341,0.18575,0.7754917,0.0476
v2x_freexp_altinf,2006,2007 - 2008,343,0.075,0.8935500000000001,0.034
v2x_freexp_altinf,2006,2007 - 2008,344,0.003,0.996003,0.001
v2x_freexp_altinf,2006,2007 - 2008,346,0.017,0.972187,0.011
v2x_freexp_altinf,2006,2007 - 2008,349,0.002,0.997002,0.001
v2x_freexp_altinf,2006,2007 - 2008,350,0,1,0
v2x_freexp_altinf,2006,2007 - 2008,352,0.005,0.994005,0.001
v2x_freexp_altinf,2006,2007 - 2008,355,0.001,0.983016,0.016
v2x_freexp_altinf,2006,2007 - 2008,359,0.039,0.933131,0.029
v2x_freexp_altinf,2006,2007 - 2008,360,0.113,0.8453849166666666,0.04691666666666666
v2x_freexp_altinf,2006,2007 - 2008,365,0.05033333333333333,0.9211766666666666,0.03
v2x_freexp_altinf,2006,2007 - 2008,366,0,1,0
v2x_freexp_altinf,2006,2007 - 2008,367,0.004,0.994008,0.002
v2x_freexp_altinf,2006,2007 - 2008,368,0,1,0
v2x_freexp_altinf,2006,2007 - 2008,369,0.0926190476190476,0.7744496428571429,0.1465
v2x_freexp_altinf,2006,2007 - 2008,370,0.09306666666666666,0.8782353714285716,0.03164285714285714
v2x_freexp_altinf,2006,2007 - 2008,371,0.013,0.978117,0.009
v2x_freexp_altinf,2006,2007 - 2008,372,0.0605,0.9142900833333332,0.02683333333333333
v2x_freexp_altinf,2006,2007 - 2008,373,0.0312,0.963956,0.005
v2x_freexp_altinf,2006,2007 - 2008,375,0,1,0
v2x_freexp_altinf,2006,2007 - 2008,380,0.001,0.999,0
v2x_freexp_altinf,2006,2007 - 2008,385,0.001,0.999,0
v2x_freexp_altinf,2006,2007 - 2008,390,0,1,0
v2x_freexp_altinf,2006,2007 - 2008,395,0,1,0
v2x_freexp_altinf,2006,2007 - 2008,402,0.001,0.997002,0.002
v2x_freexp_altinf,2006,2007 - 2008,404,0.037,0.960111,0.003
v2x_freexp_altinf,2006,2007 - 2008,411,0.02035,0.97867035,0.001
v2x_freexp_altinf,2006,2007 - 2008,420,0.041,0.929271,0.031
v2x_freexp_altinf,2006,2007 - 2008,432,0.001,0.999,0
v2x_freexp_altinf,2006,2007 - 2008,433,0.001,0.998001,0.001
v2x_freexp_altinf,2006,2007 - 2008,434,0.017,0.962357,0.021
v2x_freexp_altinf,2006,2007 - 2008,435,0.38625,0.550571744047619,0.10293809523809525
v2x_freexp_altinf,2006,2007 - 2008,436,0.007,0.9573071666666668,0.03594444444444444
v2x_freexp_altinf,2006,2007 - 2008,437,0.044,0.955044,0.001
v2x_freexp_altinf,2006,2007 - 2008,438,0.026,0.96913,0.005
v2x_freexp_altinf,2006,2007 - 2008,439,0.011,0.984055,0.005
v2x_freexp_altinf,2006,2007 - 2008,450,0.1515,0.8023981666666666,0.05433333333333334
v2x_freexp_altinf,2006,2007 - 2008,451,0.011,0.936583,0.053
v2x_freexp_altinf,2006,2007 - 2008,452,0.00433333333333333,0.9956666666666668,0
v2x_freexp_altinf,2006,2007 - 2008,461,0.4098333333333334,0.5485402444444444,0.07053333333333334
v2x_freexp_altinf,2006,2007 - 2008,471,0.029,0.968087,0.003
v2x_freexp_altinf,2006,2007 - 2008,475,0.004,0.988032,0.008
v2x_freexp_altinf,2006,2007 - 2008,481,0.008,0.984064,0.008
v2x_freexp_altinf,2006,2007 - 2008,482,0.051,0.936663,0.013
v2x_freexp_altinf,2006,2007 - 2008,483,0.079,0.912711,0.009
