outcome,from_year,for_years,gwcode,p_up,p_same,p_down
v2x_freexp_altinf,2005,2006 - 2007,770,0.06,0.92543,0.0155
v2x_freexp_altinf,2005,2006 - 2007,771,0.0405,0.3848874333333333,0.5988666666666668
v2x_freexp_altinf,2005,2006 - 2007,775,0.013,0.9835455,0.0035
v2x_freexp_altinf,2005,2006 - 2007,780,0.26583333333333337,0.53718975,0.26830000000000004
v2x_freexp_altinf,2005,2006 - 2007,781,0.472,0.459624,0.1295
v2x_freexp_altinf,2005,2006 - 2007,790,0.586,0.33782400000000007,0.184
v2x_freexp_altinf,2005,2006 - 2007,800,0.187375,0.31733006249999995,0.6095
v2x_freexp_altinf,2005,2006 - 2007,811,0.0625,0.93046875,0.0075
v2x_freexp_altinf,2005,2006 - 2007,812,0.00833333333333333,0.9916666666666668,0
v2x_freexp_altinf,2005,2006 - 2007,816,0.0675,0.9091875,0.025
v2x_freexp_altinf,2005,2006 - 2007,820,0.327,0.6450705000000001,0.0415
v2x_freexp_altinf,2005,2006 - 2007,830,0.048625,0.951375,0
v2x_freexp_altinf,2005,2006 - 2007,840,0.107,0.86777275,0.02825
v2x_freexp_altinf,2005,2006 - 2007,850,0.064,0.920088,0.017
v2x_freexp_altinf,2005,2006 - 2007,860,0.028,0.940896,0.032
v2x_freexp_altinf,2005,2006 - 2007,900,0,1,0
v2x_freexp_altinf,2005,2006 - 2007,910,0.002,0.994507,0.0035
v2x_freexp_altinf,2005,2006 - 2007,920,0,0.9975,0.0025
v2x_freexp_altinf,2005,2006 - 2007,940,0.1275,0.8188412500000001,0.0615
v2x_freexp_altinf,2005,2006 - 2007,950,0.018,0.5664339666666666,0.42318333333333347
v2x_freexp_altinf,2006,2007 - 2008,2,0,0.998,0.002
v2x_freexp_altinf,2006,2007 - 2008,20,0.005,0.9945025,5e-4
v2x_freexp_altinf,2006,2007 - 2008,40,0.0065,0.9935,0
v2x_freexp_altinf,2006,2007 - 2008,41,0.4345,0.537225,0.05
v2x_freexp_altinf,2006,2007 - 2008,42,0.0105,0.97416275,0.0155
v2x_freexp_altinf,2006,2007 - 2008,51,0,0.993,0.007
v2x_freexp_altinf,2006,2007 - 2008,52,0,0.9985,0.0015
v2x_freexp_altinf,2006,2007 - 2008,53,0.0015,0.99500525,0.0035
v2x_freexp_altinf,2006,2007 - 2008,70,0.076,0.846384,0.084
v2x_freexp_altinf,2006,2007 - 2008,90,0.0215,0.968715,0.01
v2x_freexp_altinf,2006,2007 - 2008,91,0.032,0.956384,0.012
v2x_freexp_altinf,2006,2007 - 2008,92,0.0225,0.9543658333333336,0.02366666666666666
v2x_freexp_altinf,2006,2007 - 2008,93,0.1165,0.525388,0.4053333333333333
v2x_freexp_altinf,2006,2007 - 2008,94,0,0.9975,0.0025
v2x_freexp_altinf,2006,2007 - 2008,95,0.0055,0.9855495,0.009
v2x_freexp_altinf,2006,2007 - 2008,100,0.0715,0.76647675,0.1745
v2x_freexp_altinf,2006,2007 - 2008,101,0.1421666666666667,0.7622921458333334,0.111375
v2x_freexp_altinf,2006,2007 - 2008,110,0.15425,0.8113561666666667,0.040666666666666663
v2x_freexp_altinf,2006,2007 - 2008,115,5e-4,0.9905045,0.009
v2x_freexp_altinf,2006,2007 - 2008,130,0.0505,0.8817294375,0.071375
v2x_freexp_altinf,2006,2007 - 2008,135,0.018,0.9351095,0.04775
v2x_freexp_altinf,2006,2007 - 2008,140,0.023,0.9071445,0.0715
